NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Frank Kaminsky, PHO, C,26,32,13,22.4,4.0,8.7, .455,1.2,3.5,0.348,2.8,5.2,0.527,0.525,1.8,2.8,0.67,0.9,4.0,4.9,2.2,0.4,0.3,1.0,2.2,11.0,26,718,14.5,0.5539999999999999,0.401,0.315,4.6,20.2,12.2,14.8,0.9,1.2,9.4,20.8,0.8,0.6,1.4,0.092,0.2,-0.3,-0.1,0.3,0,21
Enes Kanter, BOS, C,27,51,6,17.5,3.5,6.1, .566,0.0,0.1,0.14300000000000002,3.4,6.0,0.5760000000000001,0.568,1.2,1.7,0.708,2.8,5.0,7.7,1.0,0.4,0.7,1.0,1.7,8.2,27,891,22.0,0.594,0.023,0.28600000000000003,17.1,30.2,23.7,8.4,1.1,3.9,12.9,19.3,2.1,1.7,3.8,0.207,1.6,-0.1,1.5,0.8,0,5
Luke Kennard, DET, SG,23,28,25,32.9,5.4,12.2, .442,2.6,6.5,0.39899999999999997,2.8,5.7,0.491,0.5479999999999999,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8,23,922,14.4,0.589,0.535,0.21899999999999997,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,1.6,0.3,1.9,0.1,1.1,-1.4,-0.3,0.4,0,26
Stanton Kidd, UTA, SF,27,4,0,3.8,0.0,0.8, .000,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0,27,15,-13.7,0.0,0.33299999999999996,0.0,0.0,21.0,11.0,8.0,0.0,0.0,40.0,14.6,-0.1,0.0,-0.1,-0.327,-15.6,-1.3,-16.9,-0.1,0,7
Michael Kidd-Gilchrist, TOT, PF-SF,26,21,0,11.0,0.9,2.9, .317,0.2,1.0,0.25,0.7,1.9,0.35,0.358,0.4,0.5,0.818,0.6,2.0,2.6,0.6,0.1,0.2,0.6,1.5,2.5,26,231,4.2,0.401,0.33299999999999996,0.183,5.5,20.3,12.8,8.1,0.4,1.9,16.7,14.8,-0.3,0.2,-0.2,-0.037000000000000005,-6.6,-0.9,-7.5,-0.3,0,13
Michael Kidd-Gilchrist, CHO, PF,26,12,0,13.3,1.5,4.4, .340,0.4,1.4,0.294,1.1,3.0,0.361,0.387,0.6,0.8,0.778,0.8,2.2,2.9,0.8,0.0,0.3,0.6,1.5,4.0,26,231,4.2,0.401,0.33299999999999996,0.183,5.5,20.3,12.8,8.1,0.4,1.9,16.7,14.8,-0.3,0.2,-0.2,-0.037000000000000005,-6.6,-0.9,-7.5,-0.3,0,23
Michael Kidd-Gilchrist, DAL, SF,26,9,0,7.9,0.1,0.8, .143,0.0,0.3,0.0,0.1,0.4,0.25,0.14300000000000002,0.2,0.2,1.0,0.3,1.9,2.2,0.3,0.2,0.2,0.7,1.6,0.4,26,231,4.2,0.401,0.33299999999999996,0.183,5.5,20.3,12.8,8.1,0.4,1.9,16.7,14.8,-0.3,0.2,-0.2,-0.037000000000000005,-6.6,-0.9,-7.5,-0.3,0,13
Louis King, DET, SF,20,10,0,6.2,0.8,2.1, .381,0.4,1.1,0.364,0.4,1.0,0.4,0.47600000000000003,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.2,0.0,0.2,1.0,2.0,20,62,6.3,0.44799999999999995,0.524,0.14300000000000002,1.8,16.7,9.2,11.8,1.6,0.0,8.2,17.1,-0.1,0.0,0.0,-0.006999999999999999,-5.1,-1.1,-6.2,-0.1,0,26
Maxi Kleber, DAL, C,28,66,21,25.7,3.2,7.1, .459,1.6,4.3,0.374,1.6,2.7,0.594,0.574,1.0,1.2,0.863,1.5,3.9,5.4,1.2,0.3,1.2,0.7,2.3,9.2,28,1695,13.8,0.603,0.614,0.172,6.2,15.5,11.0,6.2,0.6,3.9,8.7,13.9,2.9,1.7,4.6,0.131,0.5,0.2,0.6,1.1,0,13
Brandon Knight, TOT, PG,28,25,3,18.5,2.4,6.7, .353,1.8,5.2,0.344,0.6,1.4,0.389,0.488,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3,28,462,8.5,0.503,0.784,0.204,1.0,9.1,5.0,21.6,1.1,0.6,17.3,20.6,-0.2,0.1,-0.1,-0.01,-1.8,-2.7,-4.4,-0.3,0,26
Brandon Knight, CLE, PG,28,16,0,15.1,1.8,5.4, .326,1.2,4.0,0.297,0.6,1.4,0.409,0.436,0.3,0.8,0.308,0.2,1.1,1.3,1.9,0.3,0.1,1.0,1.3,4.9,28,462,8.5,0.503,0.784,0.204,1.0,9.1,5.0,21.6,1.1,0.6,17.3,20.6,-0.2,0.1,-0.1,-0.01,-1.8,-2.7,-4.4,-0.3,0,29
Brandon Knight, DET, PG,28,9,3,24.6,3.4,9.0, .383,2.9,7.4,0.38799999999999996,0.6,1.6,0.35700000000000004,0.5429999999999999,1.8,2.3,0.762,0.1,2.2,2.3,4.2,0.6,0.1,2.4,2.2,11.6,28,462,8.5,0.503,0.784,0.204,1.0,9.1,5.0,21.6,1.1,0.6,17.3,20.6,-0.2,0.1,-0.1,-0.01,-1.8,-2.7,-4.4,-0.3,0,26
Kevin Knox, NYK, SF,20,65,4,17.9,2.2,6.2, .359,1.0,3.1,0.327,1.2,3.1,0.391,0.44,1.0,1.6,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,20,1166,8.4,0.47,0.496,0.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,-0.5,0.7,0.2,0.006,-3.1,-1.1,-4.2,-0.6,0,25
John Konchar, MEM, SG,23,15,0,11.1,1.5,2.3, .657,0.3,0.6,0.444,1.3,1.7,0.731,0.7140000000000001,0.1,0.1,0.5,1.2,1.9,3.1,1.4,0.5,0.2,0.4,0.5,3.4,23,167,19.0,0.711,0.257,0.057,11.5,17.3,14.4,16.7,2.0,1.6,14.3,10.4,0.5,0.2,0.7,0.195,2.7,2.2,5.0,0.3,0,14
Furkan Korkmaz, PHI, SG,22,64,12,21.8,3.5,8.0, .432,2.0,5.0,0.397,1.5,3.1,0.48700000000000004,0.5539999999999999,0.8,1.1,0.736,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.7,22,1398,11.7,0.5710000000000001,0.617,0.14,1.3,10.4,5.8,7.3,1.3,0.9,8.7,18.5,1.0,1.3,2.3,0.079,-0.6,-0.9,-1.5,0.2,0,12
Luke Kornet, CHI, C,24,36,14,15.5,2.3,5.2, .439,0.9,3.0,0.287,1.4,2.2,0.6459999999999999,0.521,0.6,0.8,0.7140000000000001,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6.0,24,559,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.5,1.1,0.091,-0.9,-0.2,-1.1,0.1,0,24
Kyle Korver, MIL, SF,38,50,0,16.7,2.2,5.2, .429,1.7,4.1,0.415,0.5,1.0,0.48100000000000004,0.595,0.6,0.7,0.8240000000000001,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.4,6.7,38,833,11.2,0.613,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5,0,1
Rodions Kurucs, BRK, PF,21,39,4,12.8,1.5,3.4, .448,0.6,1.7,0.385,0.9,1.8,0.507,0.541,0.4,0.7,0.607,0.5,2.0,2.5,0.8,0.4,0.1,0.9,1.7,4.2,21,501,8.4,0.5539999999999999,0.485,0.209,3.8,15.8,10.0,9.4,1.6,0.5,19.3,15.1,-0.1,0.6,0.5,0.048,-3.9,0.9,-2.9,-0.1,0,15
Kyle Kuzma, LAL, PF,24,54,7,24.6,4.7,10.9, .432,1.3,4.4,0.297,3.4,6.5,0.523,0.491,1.8,2.4,0.738,0.9,3.6,4.5,1.3,0.4,0.4,1.6,2.0,12.5,24,1327,11.6,0.522,0.401,0.221,4.0,15.5,9.9,7.4,0.8,1.4,11.6,23.2,-0.2,1.6,1.4,0.052000000000000005,-2.2,-1.3,-3.5,-0.5,0,2
Skal Labissière, POR, C,23,33,1,17.2,2.5,4.5, .551,0.1,0.4,0.231,2.4,4.1,0.5820000000000001,0.561,0.8,1.0,0.758,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8,23,567,15.4,0.588,0.08800000000000001,0.22399999999999998,12.1,18.7,15.4,10.2,0.6,4.6,15.7,14.3,1.0,0.4,1.4,0.122,-1.5,0.3,-1.3,0.1,0,17
Jeremy Lamb, IND, SG,27,46,42,28.1,4.7,10.4, .451,1.2,3.4,0.335,3.5,7.0,0.508,0.506,2.0,2.4,0.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5,27,1291,14.1,0.547,0.33,0.23,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,0.9,1.8,2.7,0.099,-1.1,0.7,-0.4,0.5,0,11
Romeo Langford, BOS, SG,20,27,1,11.0,0.9,2.4, .375,0.2,0.9,0.217,0.7,1.5,0.46299999999999997,0.414,0.6,0.9,0.696,0.5,0.7,1.2,0.2,0.3,0.2,0.3,1.1,2.6,20,298,6.0,0.465,0.359,0.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,-0.1,0.3,0.2,0.039,-4.5,-0.1,-4.6,-0.2,0,5
Zach LaVine, CHI, SG,24,60,60,34.8,9.0,20.0, .450,3.1,8.1,0.38,5.9,11.9,0.49700000000000005,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,24,2085,19.5,0.568,0.40399999999999997,0.27899999999999997,2.1,13.8,7.7,21.7,2.0,1.3,13.3,31.7,1.8,2.2,4.0,0.092,3.3,-0.8,2.5,2.4,0,24
Vic Law, ORL, SF,24,5,0,1.8,0.0,0.6, .000,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,24,9,-16.6,0.0,0.33299999999999996,0.667,0.0,12.4,6.0,0.0,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.456,-17.0,-8.2,-25.2,-0.1,0,16
Jake Layman, MIN, PF,25,23,2,22.0,3.5,7.8, .453,1.0,3.1,0.33299999999999996,2.5,4.7,0.5329999999999999,0.52,1.0,1.4,0.75,0.7,1.7,2.5,0.7,0.7,0.4,1.0,2.0,9.1,25,505,10.3,0.544,0.402,0.179,3.4,8.7,6.0,4.4,1.6,1.6,11.1,17.7,0.0,0.3,0.3,0.028999999999999998,-2.7,-1.0,-3.7,-0.2,0,28
T.J. Leaf, IND, PF,22,25,1,7.7,1.2,2.8, .435,0.2,0.6,0.35700000000000004,1.0,2.2,0.455,0.47100000000000003,0.3,0.5,0.583,0.8,1.7,2.6,0.2,0.3,0.1,0.3,0.7,2.9,22,193,13.8,0.485,0.203,0.174,12.1,24.4,18.3,4.3,2.0,1.4,8.6,18.5,0.0,0.3,0.4,0.08800000000000001,-1.4,-0.1,-1.5,0.0,0,11
Jalen Lecque, PHO, PG,19,4,0,6.5,1.0,2.5, .400,0.0,1.0,0.0,1.0,1.5,0.667,0.4,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.5,2.5,19,26,5.0,0.46,0.4,0.2,0.0,0.0,0.0,11.1,0.0,0.0,8.4,19.4,0.0,0.0,0.0,-0.042,-5.7,-3.6,-9.3,0.0,0,21
Courtney Lee, DAL, SG,34,24,9,14.4,1.7,3.4, .488,0.9,2.0,0.447,0.8,1.5,0.5429999999999999,0.616,0.3,0.3,0.857,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,4.5,34,345,10.9,0.629,0.573,0.085,2.2,7.4,4.9,4.7,2.5,1.5,11.4,11.9,0.3,0.4,0.7,0.098,-2.1,1.6,-0.5,0.1,0,13
Damion Lee, GSW, SG,27,49,36,29.0,4.3,10.4, .417,1.7,4.9,0.35600000000000004,2.6,5.6,0.47100000000000003,0.5,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7,27,1423,12.7,0.5479999999999999,0.46799999999999997,0.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19.0,0.9,0.8,1.7,0.057999999999999996,-1.5,-0.8,-2.3,-0.1,0,30
Alex Len, TOT, C,26,49,9,18.3,3.4,6.2, .556,0.3,1.1,0.25,3.1,5.0,0.626,0.579,1.2,1.9,0.637,1.9,4.1,6.0,1.0,0.4,0.9,1.0,2.3,8.3,26,895,18.0,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3,0,19
Alex Len, ATL, C,26,40,9,18.6,3.6,6.5, .546,0.4,1.4,0.25,3.2,5.1,0.627,0.573,1.3,2.0,0.63,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7,26,895,18.0,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3,0,27
Alex Len, SAC, C,26,9,0,16.7,2.9,4.7, .619,0.0,0.0,,2.9,4.7,0.619,0.619,0.8,1.1,0.7,2.9,4.2,7.1,0.6,0.2,1.4,1.2,2.3,6.6,26,895,18.0,0.596,0.185,0.301,11.4,24.5,17.9,8.1,1.2,4.5,12.8,18.3,1.4,0.9,2.3,0.122,-0.2,-0.2,-0.5,0.3,0,19
Kawhi Leonard, LAC, SF,28,51,51,32.2,9.3,19.9, .469,2.1,5.7,0.366,7.2,14.2,0.51,0.521,6.1,6.9,0.889,1.0,6.3,7.3,5.0,1.8,0.6,2.7,1.9,26.9,28,1643,26.7,0.585,0.287,0.344,3.3,19.7,11.7,27.0,2.6,1.7,10.7,33.2,4.6,3.0,7.6,0.222,6.5,2.5,9.0,4.6,1,4
Meyers Leonard, MIA, C,27,49,49,20.1,2.4,4.6, .520,1.0,2.4,0.429,1.3,2.1,0.625,0.635,0.3,0.5,0.654,0.6,4.5,5.1,1.1,0.3,0.3,0.7,2.1,6.1,27,987,11.1,0.64,0.534,0.11699999999999999,3.2,24.1,14.1,7.7,0.6,1.5,13.0,12.0,1.0,1.1,2.1,0.10400000000000001,-1.0,0.4,-0.6,0.3,0,8
Caris LeVert, BRK, SG,25,39,25,29.0,6.5,15.6, .414,1.8,4.8,0.381,4.6,10.8,0.429,0.473,3.0,4.1,0.72,1.0,3.1,4.1,4.1,1.1,0.2,2.5,1.8,17.7,25,1131,15.1,0.509,0.31,0.264,3.7,10.6,7.2,23.5,1.8,0.5,12.6,28.8,-0.1,1.2,1.2,0.05,0.1,-0.7,-0.6,0.4,0,15
Damian Lillard, POR, PG,29,58,58,36.9,9.2,20.0, .457,3.9,9.9,0.39399999999999996,5.3,10.2,0.518,0.5539999999999999,6.7,7.6,0.888,0.5,3.8,4.3,7.8,1.0,0.4,2.9,1.7,28.9,29,2140,26.2,0.619,0.493,0.377,1.5,10.5,6.1,34.1,1.3,0.8,11.0,30.2,8.9,0.7,9.6,0.215,7.9,-0.7,7.2,5.0,1,17
Nassir Little, POR, PF,19,48,5,11.9,1.4,3.1, .430,0.3,1.2,0.237,1.1,1.9,0.5539999999999999,0.47700000000000004,0.6,0.9,0.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6,19,573,9.7,0.505,0.391,0.29100000000000004,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,0.3,0.3,0.6,0.05,-2.9,-0.6,-3.5,-0.2,0,17
Kevon Looney, GSW, C,23,20,4,13.1,1.5,4.0, .367,0.1,0.7,0.071,1.4,3.3,0.431,0.373,0.5,0.6,0.75,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4,23,262,9.4,0.40299999999999997,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0.0,0.005,-4.8,-0.8,-5.5,-0.2,0,30
Brook Lopez, MIL, C,31,61,60,26.6,4.0,9.4, .427,1.4,4.7,0.29600000000000004,2.6,4.7,0.557,0.501,1.6,2.0,0.81,0.7,3.8,4.5,1.6,0.7,2.4,1.0,2.4,11.0,31,1622,14.0,0.537,0.49700000000000005,0.212,2.7,13.2,8.3,7.8,1.2,8.0,9.2,17.5,0.8,3.9,4.6,0.13699999999999998,-1.1,2.8,1.8,1.5,0,1
Robin Lopez, MIL, C,31,60,4,14.4,2.3,4.6, .502,0.6,1.6,0.344,1.7,3.0,0.588,0.562,0.4,0.7,0.535,0.9,1.6,2.4,0.7,0.2,0.7,0.9,1.3,5.5,31,862,11.1,0.565,0.35200000000000004,0.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,0.2,1.5,1.7,0.095,-2.4,0.5,-1.9,0.0,0,1
Kevin Love, CLE, PF,31,56,56,31.8,5.8,13.0, .450,2.6,7.0,0.374,3.2,6.0,0.537,0.55,3.3,3.9,0.8540000000000001,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6,31,1780,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.2,3.8,0.102,2.6,-0.6,2.1,1.8,0,29
Kyle Lowry, TOR, PG,33,52,52,36.6,5.9,14.3, .417,2.9,8.3,0.354,3.0,5.9,0.505,0.52,4.9,5.7,0.861,0.6,4.3,4.8,7.7,1.3,0.4,3.0,3.2,19.7,33,1901,17.9,0.589,0.583,0.39899999999999997,1.7,12.0,7.0,31.0,1.8,1.1,15.0,23.1,4.1,2.8,6.9,0.17300000000000001,2.5,0.7,3.2,2.5,1,3
Timothé Luwawu-Cabarrot, BRK, SG,24,39,0,17.2,2.0,4.9, .406,1.0,2.8,0.358,1.0,2.1,0.47,0.508,1.3,1.6,0.8390000000000001,0.6,1.7,2.3,0.6,0.4,0.2,0.8,2.1,6.3,24,671,8.9,0.563,0.568,0.32299999999999995,3.8,10.0,7.0,5.3,1.1,0.7,12.7,15.7,0.4,0.6,1.0,0.069,-3.0,-0.2,-3.2,-0.2,0,15
Trey Lyles, SAS, PF,24,63,53,20.2,2.4,5.4, .446,1.0,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,24,1271,12.7,0.557,0.49,0.131,6.0,24.6,15.3,7.3,1.1,1.9,9.7,13.7,1.2,1.0,2.2,0.081,-0.5,-0.7,-1.2,0.2,0,20
Daryl Macon, MIA, SG,24,4,0,3.5,0.3,0.8, .333,0.3,0.5,0.5,0.0,0.3,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8,24,14,-3.1,0.5,0.667,0.0,0.0,0.0,0.0,9.6,0.0,0.0,40.0,15.8,0.0,0.0,0.0,-0.161,-7.0,-4.4,-11.4,0.0,0,8
J.P. Macura, CLE, SG,24,1,0,1.0,0.0,0.0, ,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023,-5.1,-1.2,-6.3,0.0,0,29
Josh Magette, ORL, PG,30,8,0,4.8,0.6,1.9, .333,0.1,0.5,0.25,0.5,1.4,0.364,0.36700000000000005,0.1,0.3,0.5,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,30,38,5.1,0.37799999999999995,0.267,0.133,2.7,14.6,8.5,19.2,3.9,2.4,23.9,23.8,-0.2,0.1,-0.1,-0.126,-8.0,1.6,-6.4,0.0,0,16
Ian Mahinmi, WAS, C,33,38,35,21.3,2.7,5.5, .495,0.1,0.7,0.192,2.6,4.8,0.5379999999999999,0.507,1.8,3.0,0.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4,33,808,14.1,0.545,0.124,0.5379999999999999,10.2,19.8,14.8,8.2,1.8,4.7,14.8,15.7,0.7,0.7,1.4,0.08199999999999999,-2.7,0.0,-2.7,-0.2,0,22
Thon Maker, DET, C,22,60,14,12.9,1.6,3.2, .482,0.4,1.1,0.344,1.2,2.2,0.55,0.539,1.2,1.8,0.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7,22,776,13.7,0.5820000000000001,0.332,0.57,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,0.7,0.8,1.5,0.096,-2.0,0.7,-1.4,0.1,0,26
Terance Mann, LAC, SG,23,35,6,7.7,0.6,1.5, .407,0.1,0.3,0.25,0.5,1.2,0.452,0.435,0.3,0.3,0.75,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1.0,1.6,23,271,7.1,0.47200000000000003,0.222,0.222,1.6,10.8,6.3,17.9,1.4,1.6,19.1,11.2,0.0,0.3,0.3,0.057,-4.7,1.2,-3.5,-0.1,0,4
Boban Marjanović, DAL, C,31,37,2,9.1,2.6,4.7, .555,0.1,0.4,0.267,2.5,4.3,0.5820000000000001,0.5660000000000001,1.0,1.3,0.7659999999999999,1.4,2.7,4.1,0.4,0.2,0.2,0.7,1.3,6.3,31,337,24.5,0.599,0.087,0.272,16.8,30.5,23.7,6.7,1.0,1.8,11.8,27.9,0.8,0.5,1.3,0.184,1.7,-1.7,0.0,0.2,0,13
Lauri Markkanen, CHI, PF,22,50,50,29.8,5.0,11.8, .425,2.2,6.3,0.344,2.8,5.5,0.518,0.517,2.5,3.1,0.8240000000000001,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7,22,1492,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,1.1,1.6,2.6,0.084,0.2,-0.8,-0.5,0.5,0,24
Caleb Martin, CHO, SF,24,18,1,17.6,2.1,4.7, .440,1.1,2.1,0.541,0.9,2.6,0.36200000000000004,0.56,0.9,1.2,0.81,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2,24,317,12.0,0.595,0.44,0.25,3.3,10.0,6.5,11.1,1.9,2.0,13.9,15.0,0.3,0.2,0.5,0.081,-1.6,0.5,-1.0,0.1,0,23
Cody Martin, CHO, SF,24,48,3,18.8,1.9,4.3, .430,0.4,1.6,0.23399999999999999,1.5,2.7,0.546,0.473,0.9,1.4,0.6459999999999999,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0,24,903,10.5,0.505,0.37200000000000005,0.314,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,0.2,0.8,1.0,0.052000000000000005,-3.1,1.0,-2.1,0.0,0,23
Jeremiah Martin, BRK, PG,23,3,0,5.3,0.3,1.7, .200,0.0,0.3,0.0,0.3,1.3,0.25,0.2,0.0,0.0,,0.0,0.7,0.7,0.7,0.3,0.3,0.0,0.0,0.7,23,16,5.9,0.2,0.2,0.0,0.0,12.6,6.4,16.5,3.0,5.2,0.0,13.1,0.0,0.0,0.0,-0.04,-6.6,3.6,-3.0,0.0,0,15
Kelan Martin, MIN, SF,24,31,4,16.0,2.3,5.8, .392,0.8,3.1,0.26,1.5,2.7,0.541,0.461,1.0,1.0,0.968,0.4,2.7,3.1,0.7,0.2,0.3,0.6,1.6,6.4,24,495,9.2,0.506,0.53,0.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,-0.1,0.3,0.2,0.023,-3.3,-1.0,-4.3,-0.3,0,28
Frank Mason III, MIL, PG,25,6,0,8.8,0.8,3.2, .263,0.3,1.7,0.2,0.5,1.5,0.33299999999999996,0.316,0.3,0.7,0.5,0.5,0.8,1.3,1.8,0.3,0.0,1.0,0.7,2.3,25,53,4.2,0.337,0.526,0.21100000000000002,6.0,8.8,7.5,25.6,1.7,0.0,22.4,20.8,-0.2,0.1,-0.1,-0.06,-7.5,-0.9,-8.4,-0.1,0,1
Garrison Mathews, WAS, SG,23,18,0,12.6,1.3,3.1, .429,1.1,2.6,0.413,0.3,0.6,0.5,0.598,1.7,1.9,0.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4,23,227,13.1,0.691,0.821,0.607,2.8,9.1,5.8,5.8,1.6,0.4,10.1,14.5,0.6,0.0,0.6,0.129,-0.5,-0.6,-1.1,0.1,0,22
Wesley Matthews, MIL, SG,33,62,62,24.7,2.6,6.5, .397,1.6,4.5,0.365,0.9,2.0,0.46799999999999997,0.522,0.8,1.0,0.762,0.3,2.2,2.6,1.5,0.6,0.1,0.7,1.5,7.5,33,1529,8.4,0.545,0.691,0.157,1.4,8.5,5.2,7.4,1.1,0.5,8.7,12.7,0.8,2.4,3.1,0.099,-2.5,0.8,-1.7,0.1,0,1
Patrick McCaw, TOR, SF,24,37,12,24.5,1.8,4.4, .414,0.6,1.9,0.324,1.2,2.5,0.484,0.485,0.4,0.5,0.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6,24,908,7.3,0.5,0.43799999999999994,0.111,2.3,7.6,5.0,11.4,2.0,0.4,14.6,9.4,0.2,1.2,1.4,0.073,-3.6,1.8,-1.8,0.0,0,3
CJ McCollum, POR, SG,28,62,62,36.0,8.9,19.5, .453,2.8,7.4,0.38,6.0,12.2,0.49700000000000005,0.525,2.0,2.6,0.75,0.7,3.4,4.1,4.3,0.7,0.6,1.9,2.6,22.5,28,2229,17.4,0.5429999999999999,0.37799999999999995,0.135,1.9,9.7,5.9,19.3,1.0,1.5,8.3,26.7,3.1,0.6,3.7,0.079,2.5,-1.7,0.9,1.6,0,17
T.J. McConnell, IND, PG,27,63,3,18.9,3.0,5.7, .517,0.1,0.2,0.33299999999999996,2.9,5.5,0.524,0.523,0.5,0.6,0.833,0.5,2.1,2.6,5.0,0.7,0.2,1.4,1.1,6.5,27,1188,16.2,0.541,0.040999999999999995,0.099,3.0,12.1,7.6,37.2,1.8,0.8,18.5,17.2,1.6,1.4,2.9,0.11900000000000001,0.1,0.2,0.3,0.7,0,11
Jalen McDaniels, CHO, PF,22,16,0,18.3,2.1,4.4, .471,0.6,1.5,0.375,1.5,2.9,0.522,0.536,0.9,1.1,0.8240000000000001,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,5.6,22,293,10.7,0.574,0.34299999999999997,0.243,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,0.2,0.2,0.5,0.078,-3.3,0.0,-3.3,-0.1,0,23
Doug McDermott, IND, PF,28,62,0,20.0,3.9,7.9, .491,1.9,4.3,0.445,2.0,3.6,0.544,0.611,0.7,0.8,0.8270000000000001,0.4,2.1,2.5,1.1,0.1,0.1,0.6,1.7,10.4,28,1242,14.3,0.626,0.54,0.106,2.1,11.7,6.9,8.3,0.4,0.3,7.2,19.6,2.1,0.9,3.0,0.115,1.5,-1.5,0.0,0.6,0,11
JaVale McGee, LAL, C,32,61,61,16.8,3.0,4.6, .640,0.0,0.1,0.5,2.9,4.5,0.643,0.645,0.8,1.2,0.653,1.8,4.0,5.8,0.6,0.5,1.5,0.8,2.4,6.8,32,1023,20.0,0.655,0.021,0.265,12.1,25.2,18.8,4.7,1.4,7.9,12.9,15.0,2.2,2.3,4.5,0.21100000000000002,-0.3,2.3,2.1,1.1,0,2
