NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,MPT,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,ALLSTAR,TEAM_STANDING
Richaun Holmes, SAC, C,26,39,33,28.8,5.4,8.2, .654,0.0,0.0,,5.4,8.2,0.654,0.654,2.1,2.6,0.8,3.0,5.3,8.3,1.0,1.0,1.4,1.3,3.9,12.8,26,1125,20.5,0.685,0.0,0.312,11.5,21.3,16.3,5.4,1.7,4.7,11.8,16.0,3.2,1.5,4.6,0.198,0.6,0.9,1.5,1.0,0,19
Rodney Hood, POR, SF,27,21,21,29.5,4.1,8.2, .506,1.7,3.4,0.493,2.5,4.8,0.515,0.608,1.0,1.3,0.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0,27,619,12.2,0.625,0.413,0.157,1.7,10.2,6.0,7.1,1.3,0.5,9.4,13.9,0.9,0.2,1.1,0.087,-0.4,-0.5,-0.9,0.2,0,17
Al Horford, PHI, C,33,60,57,30.8,4.8,10.9, .442,1.5,4.4,0.337,3.3,6.5,0.513,0.51,0.9,1.2,0.753,1.5,5.3,6.9,4.1,0.9,0.9,1.1,2.1,12.0,33,1848,15.6,0.526,0.40399999999999997,0.11199999999999999,5.5,19.1,12.3,19.2,1.4,2.5,8.7,17.6,2.5,2.5,5.0,0.13,1.1,1.1,2.2,2.0,0,12
Talen Horton-Tucker, LAL, SG,19,2,0,2.5,0.0,0.5, .000,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,19,5,14.8,0.0,1.0,0.0,0.0,0.0,0.0,44.9,9.5,0.0,0.0,8.4,0.0,0.0,0.0,0.11,0.6,7.2,7.8,0.0,0,2
Danuel House, HOU, SF,26,58,47,30.0,3.6,8.3, .427,1.9,5.4,0.363,1.6,2.9,0.544,0.545,1.2,1.5,0.8,1.0,3.3,4.2,1.3,1.1,0.6,0.8,2.1,10.2,26,1739,11.4,0.5710000000000001,0.645,0.17600000000000002,3.4,11.5,7.4,6.1,1.7,1.6,8.6,13.5,1.9,1.6,3.5,0.096,-0.6,0.1,-0.5,0.7,0,10
Dwight Howard, LAL, C,34,62,2,19.2,3.0,4.1, .732,0.0,0.1,0.6,3.0,4.1,0.7340000000000001,0.737,1.4,2.9,0.494,2.5,4.9,7.4,0.7,0.4,1.2,1.2,3.2,7.5,34,1193,18.7,0.696,0.019,0.7,14.6,26.8,20.9,4.8,1.1,5.6,17.8,14.5,2.6,2.4,5.0,0.20199999999999999,-0.8,1.4,0.5,0.8,0,2
William Howard, HOU, SG,26,2,0,6.5,0.0,2.0, .000,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,26,13,-12.7,0.0,1.0,0.0,0.0,16.2,8.1,9.0,0.0,0.0,20.0,15.9,-0.1,0.0,-0.1,-0.354,-14.9,-5.7,-20.7,-0.1,0,10
Kevin Huerter, ATL, SG,21,56,48,31.4,4.5,10.9, .413,2.3,6.0,0.38,2.2,4.9,0.45299999999999996,0.517,0.9,1.1,0.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2,21,1760,11.5,0.536,0.5479999999999999,0.105,2.1,12.0,7.0,17.5,1.4,1.3,12.0,17.1,1.0,0.6,1.6,0.042,-0.6,-0.9,-1.6,0.2,0,27
De'Andre Hunter, ATL, SF,22,63,62,32.0,4.4,10.8, .410,1.7,4.8,0.355,2.7,6.0,0.45399999999999996,0.489,1.7,2.3,0.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3,22,2018,8.6,0.521,0.445,0.21100000000000002,2.3,13.1,7.6,8.0,1.0,0.7,12.1,17.5,-0.4,0.5,0.1,0.001,-2.8,-1.8,-4.7,-1.4,0,27
Chandler Hutchison, CHI, SF,23,28,10,18.8,2.9,6.3, .457,0.4,1.4,0.316,2.4,4.9,0.496,0.491,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8,23,527,12.4,0.521,0.217,0.446,3.6,19.8,11.3,7.4,2.5,1.3,11.4,19.1,0.0,0.7,0.7,0.06,-2.7,0.1,-2.6,-0.1,0,24
